,id,type,english_label,longitude,latitude,english_desc
0,Q596141,item,East Drumore Township,-76.166388888889,39.858333333333,"township in southern Lancaster County, Pennsylvania"
1,Q596174,item,"Luxi County, Hunan",110.20992,28.21883,county
2,Q596179,item,"Klepaczka, Kłobuck County",18.83333333,50.85,village of Poland
3,Q596228,item,JR–Maglev,138.93333333,35.58333333,Japanese maglev system
4,Q596232,item,"Vanport City, Oregon",-122.69565,45.600647222222,human settlement in United States of America
5,Q596283,item,Hraničné,20.69944444,49.37555556,municipality of Slovakia
6,Q596287,item,Villademor de la Vega,-5.5688888888889,42.270277777778,municipality of Spain
7,Q596342,item,Saint-Aubin-de-Blaye,-0.56083333333333,45.268055555556,"commune in Gironde, France"
8,Q596382,item,Djouab,3.433333,36.133333,municipality of Algeria
9,Q596397,item,Jeu-les-Bois,1.795,46.673333333333,"commune in Indre, France"
10,Q596462,item,Tchoumi-Tchoumi,1.41667,10.15,arrondissement of Benin
11,Q596464,item,Los Arquillos,-2.67183687534,42.8470395512,"cultural property in Vitoria, Spain"
12,Q596466,item,Condeúba,-41.968888888889,-14.895,"municipality of Bahia State, Brazil"
13,Q596467,item,Condeissiat,5.08,46.158333333333,"commune in Ain, France"
14,Q596627,item,"Pietrzykowice, Silesian Voivodeship",19.15,49.68333333,village of Poland
15,Q596642,item,Eden Project,-4.7447222222222,50.361944444444,visitor attraction in Cornwall in the United Kingdom
16,Q596673,item,Parenty,1.8091666666667,50.587777777778,"commune in Pas-de-Calais, France"
17,Q596679,item,Gilley,5.6358333333333,47.691111111111,"commune in Haute-Marne, France"
18,Q596768,item,Petregan playa,60.6167,33.45,desert
19,Q596781,item,San Francisco de Yare,-66.75,10.183333333333,locality
20,Q596831,item,Covel,-81.3197122,37.4907438,"census designated place in Wyoming County, West Virginia, United States"
21,Q596852,item,Monguilhem,-0.18138888888889,43.855277777778,"commune in Gers, France"
22,Q596861,item,Mucsi,18.394319444444,46.429980555556,village in Hungary
23,Q596885,item,Blaenau Gwent County Borough,-3.1963888888889,51.775833333333,"principal area in south-east Wales, United Kingdom"
24,Q596931,item,Ubatuba,-45.070833333333,-23.433888888889,"Brazilian city, located on the southeast coast, in the state of São Paulo"
25,Q596951,item,Ny Church,14.76916667,55.13944444,church in Bornholm
26,Q596966,item,Fors,-0.40916666666667,46.236388888889,"commune in Deux-Sèvres, France"
27,Q597002,item,Trenčianska Teplá,18.11666667,48.93333333,municipality of Slovakia
28,Q597007,item,Bishop Municipal Airport,-97.7525,27.6103,airport
29,Q597021,item,Bisbee-Douglas International Airport,-109.60361111111,31.468888888889,"airport in Cochise County, Arizona, United States"
30,Q597029,item,Bagua Grande District,-78.441111111111,-5.7561111111111,district of Peru
31,Q597093,item,Peacock Township,-85.862777777778,44.028888888889,township of Michigan
